0.270222, 0.205144, 0.273562, 0.206224, 0.273562, 0.207325, 0.198944, 0.207325, 0.164839, 0.208523, 0.194299, 0.162872, 0.180414, 0.208523, 0.175764, 0.192587, 0.175764, 0.191828, 0.189025, 0.191828, 0.266407, 0.222049, 0.266407, 0.220883, 0.220883, 0.22442, 0.217688, 0.22442, 0.182869, 0.180502
0.273022, 0.207423, 0.276337, 0.206095, 0.276337, 0.208945, 0.200492, 0.208945, 0.166175, 0.210126, 0.195953, 0.164182, 0.181699, 0.210126, 0.176973, 0.19383, 0.176973, 0.193052, 0.190171, 0.193052, 0.267917, 0.223361, 0.267917, 0.222159, 0.222159, 0.225718, 0.219091, 0.225718, 0.184043, 0.181636
0.269302, 0.204699, 0.272578, 0.203643, 0.272578, 0.206484, 0.198065, 0.206484, 0.16402, 0.2073, 0.193621, 0.162035, 0.179183, 0.2073, 0.174452, 0.190952, 0.174452, 0.190168, 0.187259, 0.190168, 0.263786, 0.219968, 0.263786, 0.218781, 0.218781, 0.222329, 0.215865, 0.222329, 0.181266, 0.178838
0.264762, 0.201407, 0.267978, 0.201275, 0.267978, 0.204001, 0.195598, 0.204001, 0.161781, 0.204335, 0.191259, 0.159799, 0.176526, 0.204335, 0.171771, 0.187862, 0.171771, 0.187068, 0.184111, 0.187068, 0.259316, 0.216308, 0.259316, 0.215138, 0.215138, 0.218685, 0.212411, 0.218685, 0.178276, 0.175811
0.268066, 0.203674, 0.271351, 0.203942, 0.271351, 0.206549, 0.198135, 0.206549, 0.164041, 0.207395, 0.19358, 0.162064, 0.179345, 0.207395, 0.174645, 0.191229, 0.174645, 0.190456, 0.18759, 0.190456, 0.264333, 0.220382, 0.264333, 0.219215, 0.219215, 0.222768, 0.216179, 0.222768, 0.181536, 0.179125
0.266256, 0.202598, 0.268299, 0.205109, 0.268299, 0.204567, 0.196173, 0.204567, 0.16229, 0.205073, 0.191722, 0.160316, 0.177254, 0.205073, 0.172536, 0.188798, 0.172536, 0.188017, 0.185112, 0.188017, 0.260799, 0.217491, 0.260799, 0.216333, 0.216333, 0.219879, 0.213459, 0.219879, 0.179188, 0.17675
0.262849, 0.200171, 0.2659, 0.203362, 0.2659, 0.203578, 0.195167, 0.203578, 0.161333, 0.203761, 0.190792, 0.159353, 0.176043, 0.203761, 0.171288, 0.187317, 0.171288, 0.186524, 0.18357, 0.186524, 0.258589, 0.215702, 0.258589, 0.214547, 0.214547, 0.218103, 0.211811, 0.218103, 0.177744, 0.175271
0.265508, 0.202068, 0.26873, 0.204423, 0.26873, 0.204637, 0.196218, 0.204637, 0.162318, 0.205031, 0.191856, 0.160333, 0.177142, 0.205031, 0.172383, 0.188552, 0.172383, 0.187759, 0.184805, 0.187759, 0.260299, 0.217119, 0.260299, 0.215945, 0.215945, 0.219498, 0.213187, 0.219498, 0.178939, 0.176475
0.266337, 0.202608, 0.269438, 0.205272, 0.269438, 0.205313, 0.196915, 0.205313, 0.162956, 0.205967, 0.192413, 0.160982, 0.17807, 0.205967, 0.173364, 0.189762, 0.173364, 0.188986, 0.186102, 0.188986, 0.262219, 0.218648, 0.262219, 0.217489, 0.217489, 0.221036, 0.214537, 0.221036, 0.180121, 0.177697
0.261017, 0.19834, 0.264269, 0.198749, 0.264269, 0.20159, 0.193301, 0.20159, 0.159823, 0.201984, 0.188824, 0.15788, 0.174635, 0.201984, 0.169994, 0.186036, 0.169994, 0.185272, 0.182428, 0.185272, 0.257087, 0.214375, 0.257087, 0.213254, 0.213254, 0.216763, 0.210351, 0.216763, 0.176558, 0.174154
